0,1,2,3,4,5
"CL 5 12 57, FLORIDABLANCA",7.082470537845398,-73.10217471834424,9.0,7.0616661,-73.0893048
"CL 5 12 74, VILLA RICA",3.1782635955852605,-76.46387262730119,9.0,-11.9941735,-76.8198093
"CL 5 12 97, CARTAGENA DE INDIAS",10.391920018192337,-75.54916998164224,9.0,10.5333079,-75.3961991
"CL 5 12 A 43, MOSQUERA",4.6924585988785035,-74.18238807559007,9.0,4.7060387,-74.2280196
"CL 5 121 B 56, CALI",37.303269988532776,14.213539973932114,9.0,3.4476661,-76.5367621
"CL 5 121B 56, CALI",33.857602198016274,-118.19492044901193,9.0,,
"CL 5 13 12, LOS PATIOS",14.569237753236596,-90.50377413418121,9.0,7.7730655,-72.5246033
"CL 5 13 27, VILLA DEL ROSARIO",7.842243650490848,-72.4756700385063,9.0,7.8360488,-72.4560747
"CL 5 13 28, SOLEDAD",20.14350500430143,-90.17515000895371,9.0,10.2570444,-67.5930703
"CL 5 13 33, ARMENIA",4.540443907889299,-75.66457557251469,9.0,4.5406988,-75.6645793
"CL 5 13 38, SAN CARLOS DE GUAROA",3.7112226233979193,-73.24158008523172,9.0,3.7111488,-73.237563
"CL 5 13 66, LÍBANO",4.9238089141338115,-75.06775295203869,9.0,,
"CL 5 13 86, FLORIDABLANCA",7.064174701539039,-73.08243013145672,9.0,7.0616661,-73.0893048
"CL 5 14 32, CHIVOLO",10.027398498884034,-74.62125761045253,9.0,10.024623,-74.6298993
"CL 5 14 36, PUERTO LÓPEZ",4.084629021641581,-72.95558908332563,9.0,4.0846342,-72.956649
"CL 5 144, MANZANARES",5.25355197466631,-75.15360023940242,9.0,,
"CL 5 14B 24, GUADUAS",5.081359883308249,-74.6098999465901,9.0,5.2064459,-74.7317874
"CL 5 15 09, VILLAMARÍA",5.042773140126335,-75.51992145310496,9.0,5.0460382,-75.5159633
"CL 5 15 1626, ZIPAQUIRÁ",5.020369992135265,-73.99845000076968,9.0,5.0376675,-74.0045953
"CL 5 15 36, SANTA ROSA DEL SUR",7.959635640586012,-74.04910482092824,9.0,7.9587421,-74.0499088
"CL 5 15 64, VILLAVICENCIO",4.129949982338559,-73.61627000086767,9.0,4.8107919,-75.6827593
"CL 5 15 83, PITALITO",1.8577709435865684,-76.04217379824429,9.0,1.8505259,-76.0461376
"CL 5 15F 21, PIEDECUESTA",6.993858945749363,-73.0459225495983,9.0,6.9885648,-73.0535658
